DATE,VALUE
1992-01-01,7531.14
1992-02-01,7888.00
1992-03-01,7430.46
1992-04-01,7417.95
1992-05-01,7333.95
1992-06-01,7202.36
1992-07-01,7516.17
1992-08-01,7279.75
1992-09-01,6918.57
1992-10-01,6322.50
1992-11-01,5593.71
1992-12-01,5751.19
1993-01-01,5948.10
1993-02-01,6050.75
1993-03-01,5974.91
1993-04-01,5987.50
1993-05-01,5777.79
1993-06-01,5544.32
1993-07-01,5051.18
1993-08-01,4740.48
1993-09-01,4376.05
1993-10-01,4464.86
1993-11-01,4642.27
1993-12-01,5139.80
1994-01-01,5584.05
1994-02-01,5830.10
1994-03-01,5590.43
1994-04-01,5400.26
1994-05-01,6082.86
1994-06-01,6287.05
1994-07-01,6230.57
1994-08-01,5856.14
1994-09-01,6370.68
1994-10-01,6735.86
1994-11-01,7474.55
1994-12-01,8540.65
1995-01-01,9596.19
1995-02-01,8431.25
1995-03-01,7522.39
1995-04-01,7405.00
1995-05-01,7262.38
1995-06-01,7877.27
1995-07-01,8618.00
1995-08-01,8931.82
1995-09-01,8397.25
1995-10-01,8068.86
1995-11-01,8498.10
1995-12-01,8074.21
1996-01-01,7870.71
1996-02-01,8198.50
1996-03-01,8046.40
1996-04-01,8047.00
1996-05-01,8042.86
1996-06-01,7713.16
1996-07-01,7202.61
1996-08-01,7037.62
1996-09-01,7329.81
1996-10-01,7028.70
1996-11-01,6960.71
1996-12-01,6571.05
1997-01-01,7069.14
1997-02-01,7736.58
1997-03-01,7893.21
1997-04-01,7313.14
1997-05-01,7476.00
1997-06-01,7060.00
1997-07-01,6832.74
1997-08-01,6764.45
1997-09-01,6498.29
1997-10-01,6373.48
1997-11-01,6137.25
1997-12-01,5942.38
1998-01-01,5489.00
1998-02-01,5367.25
1998-03-01,5397.05
1998-04-01,5391.00
1998-05-01,5016.84
1998-06-01,4456.90
1998-07-01,4332.62
1998-08-01,4078.00
1998-09-01,4100.91
1998-10-01,3870.45
1998-11-01,4117.25
1998-12-01,3865.76
1999-01-01,4264.00
1999-02-01,4623.25
1999-03-01,5002.95
1999-04-01,5054.75
1999-05-01,5395.79
1999-06-01,5194.77
1999-07-01,5696.36
1999-08-01,6431.43
1999-09-01,7029.09
1999-10-01,7317.62
1999-11-01,7946.82
1999-12-01,8073.24
2000-01-01,8315.25
2000-02-01,9583.75
2000-03-01,10255.40
2000-04-01,9746.50
2000-05-01,10122.91
2000-06-01,8384.32
2000-07-01,8174.81
2000-08-01,8038.43
2000-09-01,8624.81
2000-10-01,7650.64
2000-11-01,7350.59
2000-12-01,7318.80
2001-01-01,6975.91
2001-02-01,6546.80
2001-03-01,6165.18
2001-04-01,6363.11
2001-05-01,7086.48
2001-06-01,6674.33
2001-07-01,5962.55
2001-08-01,5525.64
2001-09-01,5057.65
2001-10-01,4830.78
2001-11-01,5131.32
2001-12-01,5315.82
2002-01-01,6061.36
2002-02-01,6039.95
2002-03-01,6543.20
2002-04-01,6956.81
2002-05-01,6771.18
2002-06-01,7147.61
2002-07-01,7137.70
2002-08-01,6736.86
2002-09-01,6664.95
2002-10-01,6818.91
2002-11-01,7314.81
2002-12-01,7206.33
2003-01-01,8032.81
2003-02-01,8607.90
2003-03-01,8339.62
2003-04-01,7930.53
2003-05-01,8347.73
2003-06-01,8839.02
2003-07-01,8831.70
2003-08-01,9359.88
2003-09-01,9995.77
2003-10-01,11040.28
2003-11-01,12052.38
2003-12-01,14185.21
2004-01-01,15089.33
2004-02-01,15099.35
2004-03-01,13786.54
2004-04-01,12725.90
2004-05-01,11228.61
2004-06-01,13599.36
2004-07-01,15020.07
2004-08-01,13639.62
2004-09-01,13430.36
2004-10-01,14378.48
2004-11-01,14089.51
2004-12-01,13764.98
2005-01-01,14563.75
2005-02-01,15415.60
2005-03-01,16239.90
2005-04-01,16138.33
2005-05-01,17002.25
2005-06-01,16113.18
2005-07-01,14587.60
2005-08-01,14962.00
2005-09-01,14154.55
2005-10-01,12431.12
2005-11-01,12235.05
2005-12-01,13490.45
2006-01-01,14660.81
2006-02-01,14974.50
2006-03-01,14925.48
2006-04-01,18028.89
2006-05-01,21131.33
2006-06-01,20585.91
2006-07-01,26185.71
2006-08-01,30468.86
2006-09-01,29702.62
2006-10-01,32551.14
2006-11-01,31891.59
2006-12-01,34400.53
2007-01-01,36821.59
2007-02-01,41078.25
2007-03-01,46125.23
2007-04-01,49956.58
2007-05-01,51783.33
2007-06-01,41551.67
2007-07-01,33400.23
2007-08-01,27649.64
2007-09-01,29548.40
2007-10-01,31156.00
2007-11-01,30505.64
2007-12-01,26053.56
2008-01-01,27774.77
2008-02-01,28064.95
2008-03-01,31093.05
2008-04-01,28776.82
2008-05-01,25656.50
2008-06-01,22562.57
2008-07-01,20106.96
2008-08-01,19111.80
2008-09-01,17781.86
2008-10-01,12144.87
2008-11-01,10776.50
2008-12-01,9846.93
2009-01-01,11562.95
2009-02-01,10410.75
2009-03-01,9710.73
2009-04-01,11331.60
2009-05-01,12720.08
2009-06-01,14944.36
2009-07-01,16017.39
2009-08-01,19375.93
2009-09-01,17404.64
2009-10-01,18489.48
2009-11-01,16911.33
2009-12-01,17121.62
2010-01-01,18405.55
2010-02-01,19060.55
2010-03-01,22467.17
2010-04-01,26028.50
2010-05-01,21930.00
2010-06-01,19411.30
2010-07-01,19548.52
2010-08-01,21448.79
2010-09-01,22690.14
2010-10-01,23793.68
2010-11-01,22836.23
2010-12-01,24099.57
2011-01-01,25621.23
2011-02-01,28412.18
2011-03-01,26710.35
2011-04-01,26332.17
2011-05-01,24164.55
2011-06-01,22420.93
2011-07-01,23847.95
2011-08-01,21864.68
2011-09-01,20377.59
2011-10-01,19039.05
2011-11-01,17873.00
2011-12-01,18246.04
2012-01-01,19908.62
2012-02-01,20393.67
2012-03-01,18660.81
2012-04-01,17892.82
2012-05-01,16968.32
2012-06-01,16603.68
2012-07-01,16128.41
2012-08-01,15703.99
2012-09-01,17287.96
2012-10-01,17168.74
2012-11-01,16335.36
2012-12-01,17448.50
2013-01-01,17494.07
2013-02-01,17690.10
2013-03-01,16731.70
2013-04-01,15629.31
2013-05-01,14948.23
2013-06-01,14280.28
2013-07-01,13750.32
2013-08-01,14308.26
2013-09-01,13801.39
2013-10-01,14117.65
2013-11-01,13684.01
2013-12-01,13924.55
2014-01-01,14101.25
2014-02-01,14203.55
2014-03-01,15678.10
2014-04-01,17373.60
2014-05-01,19401.08
2014-06-01,18628.81
2014-07-01,19117.65
2014-08-01,18600.20
2014-09-01,18034.80
2014-10-01,15812.37
2014-11-01,15807.05
2014-12-01,15962.05
2015-01-01,14849.19
2015-02-01,14573.84
2015-03-01,13755.50
2015-04-01,12830.93
2015-05-01,13511.34
2015-06-01,12825.23
2015-07-01,11413.10
2015-08-01,10386.00
2015-09-01,9937.55
2015-10-01,10316.83
2015-11-01,9244.33
2015-12-01,8707.79
2016-01-01,8507.29
2016-02-01,8298.50
2016-03-01,8717.25
2016-04-01,8878.86
2016-05-01,8660.35
2016-06-01,8928.35
2016-07-01,10262.86
2016-08-01,10335.99
2016-09-01,10191.78
2016-10-01,10259.74
2016-11-01,11128.91
2016-12-01,10972.28
2017-01-01,9971.46
2017-02-01,10643.30
2017-03-01,10204.66
2017-04-01,9609.28
2017-05-01,9155.12
2017-06-01,8931.76
2017-07-01,9491.39
2017-08-01,10889.98
2017-09-01,11215.79
2017-10-01,11335.77
2017-11-01,11972.00
2017-12-01,11495.11
2018-01-01,12864.88
2018-02-01,13595.88
2018-03-01,13392.50
2018-04-01,13938.10
2018-05-01,14366.49
2018-06-01,15105.65
2018-07-01,13793.86
2018-08-01,13411.35
2018-09-01,12510.35
2018-10-01,12314.91
2018-11-01,11239.72
2018-12-01,10835.08
2019-01-01,11523.09
2019-02-01,12685.23
2019-03-01,13026.27
2019-04-01,12772.79
2019-05-01,12016.31
2019-06-01,11943.94
2019-07-01,13546.30
2019-08-01,15748.64
2019-09-01,17656.88
2019-10-01,17046.22
2019-11-01,15171.81
2019-12-01,13829.43
2020-01-01,13506.86
2020-02-01,12715.55
2020-03-01,11846.23
2020-04-01,11804.01
2020-05-01,12179.61
2020-06-01,12727.15
2020-07-01,13402.30
2020-08-01,14575.78
2020-09-01,14857.49
2020-10-01,15239.36
2020-11-01,15807.73
2020-12-01,16823.04
2021-01-01,17863.18
2021-02-01,18584.38
2021-03-01,16406.66
2021-04-01,16521.25
2021-05-01,17602.10
2021-06-01,17979.57
2021-07-01,18818.51
2021-08-01,19141.30
2021-09-01,19376.88
2021-10-01,19362.39
2021-11-01,19932.86
2021-12-01,20015.55
2022-01-01,22355.40
