DATE,VALUE
1967-01-01,29.400
1967-02-01,29.400
1967-03-01,29.500
1967-04-01,29.400
1967-05-01,29.400
1967-06-01,29.400
1967-07-01,29.400
1967-08-01,29.400
1967-09-01,29.600
1967-10-01,29.600
1967-11-01,29.700
1967-12-01,29.800
1968-01-01,30.100
1968-02-01,30.100
1968-03-01,30.000
1968-04-01,29.900
1968-05-01,29.900
1968-06-01,29.900
1968-07-01,29.900
1968-08-01,29.900
1968-09-01,30.400
1968-10-01,30.400
1968-11-01,30.200
1968-12-01,30.200
1969-01-01,30.600
1969-02-01,30.700
1969-03-01,30.900
1969-04-01,31.000
1969-05-01,31.300
1969-06-01,31.400
1969-07-01,31.600
1969-08-01,32.100
1969-09-01,32.200
1969-10-01,32.400
1969-11-01,32.400
1969-12-01,32.500
1970-01-01,32.700
1970-02-01,33.300
1970-03-01,33.500
1970-04-01,33.400
1970-05-01,33.900
1970-06-01,34.300
1970-07-01,34.300
1970-08-01,34.200
1970-09-01,34.400
1970-10-01,34.600
1970-11-01,34.300
1970-12-01,34.300
1971-01-01,34.600
1971-02-01,34.800
1971-03-01,34.800
1971-04-01,34.900
1971-05-01,35.400
1971-06-01,35.500
1971-07-01,36.000
1971-08-01,37.000
1971-09-01,37.100
1971-10-01,37.100
1971-11-01,37.000
1971-12-01,37.000
1972-01-01,37.400
1972-02-01,37.800
1972-03-01,37.900
1972-04-01,37.800
1972-05-01,37.800
1972-06-01,37.800
1972-07-01,37.800
1972-08-01,37.900
1972-09-01,38.000
1972-10-01,38.000
1972-11-01,38.100
1972-12-01,38.200
1973-01-01,38.900
1973-02-01,39.200
1973-03-01,39.300
1973-04-01,39.500
1973-05-01,39.900
1973-06-01,40.100
1973-07-01,40.100
1973-08-01,40.100
1973-09-01,40.300
1973-10-01,40.900
1973-11-01,41.800
1973-12-01,42.000
1974-01-01,42.700
1974-02-01,43.900
1974-03-01,46.500
1974-04-01,48.600
1974-05-01,49.900
1974-06-01,52.500
1974-07-01,56.200
1974-08-01,57.700
1974-09-01,58.400
1974-10-01,58.700
1974-11-01,58.900
1974-12-01,58.000
1975-01-01,58.800
1975-02-01,59.100
1975-03-01,59.200
1975-04-01,59.300
1975-05-01,59.200
1975-06-01,58.800
1975-07-01,58.200
1975-08-01,58.500
1975-09-01,59.100
1975-10-01,60.400
1975-11-01,60.200
1975-12-01,60.300
1976-01-01,60.800
1976-02-01,61.800
1976-03-01,62.400
1976-04-01,62.900
1976-05-01,62.900
1976-06-01,64.400
1976-07-01,64.900
1976-08-01,64.900
1976-09-01,64.500
1976-10-01,64.500
1976-11-01,64.600
1976-12-01,65.700
1977-01-01,66.100
1977-02-01,66.300
1977-03-01,67.100
1977-04-01,67.300
1977-05-01,67.200
1977-06-01,66.900
1977-07-01,68.500
1977-08-01,68.800
1977-09-01,69.600
1977-10-01,69.100
1977-11-01,68.900
1977-12-01,69.500
1978-01-01,70.200
1978-02-01,72.200
1978-03-01,73.000
1978-04-01,74.300
1978-05-01,74.300
1978-06-01,74.500
1978-07-01,74.900
1978-08-01,76.300
1978-09-01,76.300
1978-10-01,76.700
1978-11-01,77.200
1978-12-01,77.600
1979-01-01,80.300
1979-02-01,81.100
1979-03-01,82.600
1979-04-01,82.600
1979-05-01,82.400
1979-06-01,83.500
1979-07-01,84.600
1979-08-01,84.400
1979-09-01,84.200
1979-10-01,85.300
1979-11-01,86.100
1979-12-01,86.400
1980-01-01,87.700
1980-02-01,88.600
1980-03-01,89.000
1980-04-01,90.600
1980-05-01,89.900
1980-06-01,89.500
1980-07-01,88.700
1980-08-01,89.300
1980-09-01,89.800
1980-10-01,91.600
1980-11-01,92.200
1980-12-01,93.300
1981-01-01,95.300
1981-02-01,95.300
1981-03-01,96.800
1981-04-01,97.600
1981-05-01,97.500
1981-06-01,97.400
1981-07-01,99.900
1981-08-01,100.300
1981-09-01,100.200
1981-10-01,100.700
1981-11-01,100.300
1981-12-01,100.300
1982-01-01,101.200
1982-02-01,101.100
1982-03-01,101.000
1982-04-01,101.100
1982-05-01,100.700
1982-06-01,99.800
1982-07-01,99.500
1982-08-01,99.400
1982-09-01,99.300
1982-10-01,99.600
1982-11-01,99.100
1982-12-01,98.200
1983-01-01,98.300
1983-02-01,100.300
1983-03-01,100.800
1983-04-01,100.700
1983-05-01,100.600
1983-06-01,100.700
1983-07-01,100.900
1983-08-01,101.200
1983-09-01,102.700
1983-10-01,102.800
1983-11-01,103.100
1983-12-01,103.500
1984-01-01,104.400
1984-02-01,105.100
1984-03-01,105.100
1984-04-01,105.100
1984-05-01,105.400
1984-06-01,105.300
1984-07-01,105.400
1984-08-01,105.400
1984-09-01,105.600
1984-10-01,105.700
1984-11-01,105.500
1984-12-01,105.300
1985-01-01,105.300
1985-02-01,105.400
1985-03-01,105.500
1985-04-01,105.400
1985-05-01,105.000
1985-06-01,104.600
1985-07-01,104.500
1985-08-01,104.600
1985-09-01,104.600
1985-10-01,104.500
1985-11-01,104.100
1985-12-01,104.100
1986-01-01,101.000
1986-02-01,101.100
1986-03-01,100.800
1986-04-01,101.000
1986-05-01,101.200
1986-06-01,101.100
1986-07-01,101.100
1986-08-01,101.200
1986-09-01,101.400
1986-10-01,101.400
1986-11-01,101.300
1986-12-01,101.300
1987-01-01,102.000
1987-02-01,102.300
1987-03-01,101.900
1987-04-01,101.900
1987-05-01,102.200
1987-06-01,102.500
1987-07-01,103.100
1987-08-01,103.700
1987-09-01,105.400
1987-10-01,109.500
1987-11-01,110.400
1987-12-01,109.900
1988-01-01,110.900
1988-02-01,113.000
1988-03-01,113.600
1988-04-01,114.800
1988-05-01,115.000
1988-06-01,114.900
1988-07-01,117.000
1988-08-01,118.000
1988-09-01,117.400
1988-10-01,118.300
1988-11-01,117.600
1988-12-01,117.600
1989-01-01,119.700
1989-02-01,120.600
1989-03-01,120.700
1989-04-01,120.800
1989-05-01,120.600
1989-06-01,119.800
1989-07-01,119.000
1989-08-01,118.400
1989-09-01,118.100
1989-10-01,117.800
1989-11-01,116.900
1989-12-01,116.500
1990-01-01,116.700
1990-02-01,116.200
1990-03-01,116.500
1990-04-01,117.100
1990-05-01,117.900
1990-06-01,117.400
1990-07-01,117.500
1990-08-01,118.200
1990-09-01,117.900
1990-10-01,117.500
1990-11-01,116.900
1990-12-01,116.800
1991-01-01,117.000
1991-02-01,116.600
1991-03-01,115.800
1991-04-01,115.400
1991-05-01,114.500
1991-06-01,113.500
1991-07-01,113.300
1991-08-01,113.000
1991-09-01,112.800
1991-10-01,112.400
1991-11-01,112.300
